name,Selection,Bowl,Favorite,Underdog,Confidence_Score
JBrown,BYU,Idaho Potato,BYU,W. Michigan,2
JBrown,Temple,Independence,Temple,Duke,12
JBrown,Arizona State,Las Vegas,Fresno State,Arizona State,36
JBrown,Missouri,Liberty,Missouri,Oklahoma State,6
JBrown,Cincinnati,Military,Cincinnati,Virginia Tech,35
JBrown,Purdue,Music City,Auburn,Purdue,7
JBrown,Alabama,National Championship,Winner of Cotton,Winner of Orange,40
JBrown,Utah State,New Mexico,Utah State,N. Texas,9
JBrown,App. State,New Orleans,App. State,MTSU,10
JBrown,Alabama,Orange,Alabama,Oklahoma,39
JBrown,Iowa,Outback,Mississippi State,Iowa,20
JBrown,Florida,Peach,Michigan,Florida,18
JBrown,Wisconsin,Pinstripe,Miami,Wisconsin,37
JBrown,Georgia Tech,Quick Lane,Georgia Tech,Minnesota,11
JBrown,Oregon,Redbox,Michigan State,Oregon,34
JBrown,Ohio State,Rose,Ohio State,Washington,32
JBrown,Georgia,Sugar,Georgia,Texas,33
JBrown,Pittsburgh,Sun,Stanford,Pittsburgh,14
JBrown,NC State,Taxslayer,Texas A&M,NC State,22
JBrown,Vanderbilt,Texas,Vanderbilt,Baylor,13
Jeremy,Wash. State,Alamo,Wash. State,Iowa State,32
Jeremy,Nevada,Arizona,Arkansas St.,Nevada,10
Jeremy,Houston,Armed Forces,Army,Houston,18
Jeremy,FIU,Bahamas,Toledo,FIU,19
Jeremy,Virginia,Belk,South Carolina,Virginia,3
Jeremy,Wake Forest,Birmingham,Memphis,Wake Forest,2
Jeremy,UAB,Boca Raton,UAB,N. Illinois,21
Jeremy,Ga. Southern,Camellia,E. Michigan,Ga. Southern,22
Jeremy,Syracuse,Camping World,W. Virginia,Syracuse,11
Jeremy,TCU,Cheez-It,California,TCU,15
Jeremy,Kentucky,Citrus,Penn State,Kentucky,7
Jeremy,Clemson,Cotton,Clemson,Notre Dame,38
Jeremy,Tulane,Cure,Tulane,Louisiana,29
Jeremy,Troy,Dollar General,Buffalo,Troy,17
Jeremy,LSU,Fiesta,LSU,UCF,6
Jeremy,Boise State,First Responder,Boise State,Boston College,27
Jeremy,Ohio,Frisco,Ohio,San Diego State,33
Jeremy,Marshall,Gasparilla,Marshall,S. Florida,20
Jeremy,Hawaii,Hawaii,Hawaii,La. Tech,28
Jeremy,Northwestern,Holiday,Utah,Northwestern,5
Jeremy,BYU,Idaho Potato,BYU,W. Michigan,35
Jeremy,Temple,Independence,Temple,Duke,14
Jeremy,Arizona State,Las Vegas,Fresno State,Arizona State,23
Jeremy,Missouri,Liberty,Missouri,Oklahoma State,36
Jeremy,Cincinnati,Military,Cincinnati,Virginia Tech,8
Jeremy,Purdue,Music City,Auburn,Purdue,26
Jeremy,Alabama,National Championship,Winner of Cotton,Winner of Orange,40
Jeremy,Utah State,New Mexico,Utah State,N. Texas,34
Jeremy,MTSU,New Orleans,App. State,MTSU,1
Jeremy,Alabama,Orange,Alabama,Oklahoma,39
Jeremy,Mississippi State,Outback,Mississippi State,Iowa,24
Jeremy,Michigan,Peach,Michigan,Florida,31
Jeremy,Wisconsin,Pinstripe,Miami,Wisconsin,13
Jeremy,Georgia Tech,Quick Lane,Georgia Tech,Minnesota,16
Jeremy,Oregon,Redbox,Michigan State,Oregon,4
Jeremy,Ohio State,Rose,Ohio State,Washington,30
Jeremy,Georgia,Sugar,Georgia,Texas,37
Jeremy,Stanford,Sun,Stanford,Pittsburgh,9
Jeremy,Texas A&M,Taxslayer,Texas A&M,NC State,25
Jeremy,Baylor,Texas,Vanderbilt,Baylor,12
JHajdin,Wash. State,Alamo,Wash. State,Iowa State,21
JHajdin,Nevada,Arizona,Arkansas St.,Nevada,3
JHajdin,Army,Armed Forces,Army,Houston,6
JHajdin,FIU,Bahamas,Toledo,FIU,22
JHajdin,Virginia,Belk,South Carolina,Virginia,4
JHajdin,Wake Forest,Birmingham,Memphis,Wake Forest,8
JHajdin,UAB,Boca Raton,UAB,N. Illinois,15
JHajdin,E. Michigan,Camellia,E. Michigan,Ga. Southern,5
JHajdin,W. Virginia,Camping World,W. Virginia,Syracuse,32
JHajdin,TCU,Cheez-It,California,TCU,9
JHajdin,Penn State,Citrus,Penn State,Kentucky,30
JHajdin,Notre Dame,Cotton,Clemson,Notre Dame,38
JHajdin,Tulane,Cure,Tulane,Louisiana,19
JHajdin,Buffalo,Dollar General,Buffalo,Troy,7
JHajdin,UCF,Fiesta,LSU,UCF,34
JHajdin,Boston College,First Responder,Boise State,Boston College,12
JHajdin,Ohio,Frisco,Ohio,San Diego State,25
JHajdin,S. Florida,Gasparilla,Marshall,S. Florida,17
JHajdin,Hawaii,Hawaii,Hawaii,La. Tech,14
